stage,course,content,age,subject,unit_type,unit_title,card_title,block_title,card_type,block_type,text
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,Emprendimiento 360°,Inicio,lesson,text,"2 Emprendimiento 360°
https://plus.edebe.com/resources/video/vm_138373_tecno_4eso_s02_014.mp4
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/14_1.png
¿Te atreves a pensar en grande? Seguro que alguna vez has pensado en alguna idea o en algún proyecto que te gustaría hacer; algo muy ambicioso, como inventar una vacuna, desarrollar un artefacto que facilite la vida a millones de personas o incluso, ¿por qué no?, teletransportarte gozando de ciertos superpoderes…
Dejando a un lado la fantasía, debes empoderarte, creer en ti mismo y sentir que no solo los grandes emprendedores pueden tener éxito.
Recuerda la frase de Albert Einstein: «Si lo puedes imaginar, lo puedes lograr».
- ¿Y si creáis un producto tecnológico y preparáis su presentación y difusión como si fuerais grandes emprendedores?"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cómo emprender?,Contenido,lesson,text,"¿Cómo emprender?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/15_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cómo emprender?,Actividades,lesson,exam,"Investigad y documentaos sobre grandes innovadores y emprendedores de éxito de los últimos tiempos.
a) Realizad una infografía con una herramienta digital donde aparezcan tres emprendedores y tres emprendedoras: su idea, su producto o servicio y sus claves del éxito.
b) ¿Os ha costado más encontrar a mujeres emprendedoras? Analizad cómo ha sido esta evolución históricamente y a qué ha podido deberse."
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cómo emprender?,Actividades,lesson,exam,"La fuerza del equipo. Puede que tengáis una muy buena idea, pero necesitarás un buen equipo para lograr el éxito.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/15_2.png
— Elaborad una tabla entre todos que saque a relucir las fortalezas y debilidades de cada uno.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/15_3.png
Puede ayudaros usar pósits con palabras clave. Analizad cómo se pueden mejorar o compensar esas debilidades."
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cuál va a ser nuestro producto?,Contenido,lesson,text,"¿Cuál va a ser nuestro producto?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/16_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cuál va a ser nuestro producto?,Actividades,lesson,exam,"Realizad un brainstorming (tormenta de ideas) para, entre todos, detectar posibles necesidades que cubrir para fundamentar vuestro proyecto. Si no se os ocurre ninguna idea, podéis probar a idear un soporte multidispositivo de escritorio como los que se muestran en estas imágenes:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/16_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cuál va a ser nuestro producto?,Actividades,lesson,exam,"¿Habéis oído hablar del visual thinking? Coged un trozo de papel continuo blanco o una pizarra Velleda, varios rotuladores de colores y realizad un visual thinking de la idea seleccionada en el brainstorming. Debéis plasmar aspectos como:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/16_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cuál va a ser nuestro producto?,Actividades,lesson,exam,"Llegados a este punto hay que establecer las diferentes fases de las que se compone el proyecto. Esto os ayudará a organizarlo y a temporalizarlo, a repartir tareas y a dimensionar los recursos necesarios.
— Realizad un mapa conceptual que refleje la forma en la que os vais a organizar.
Ficha 18"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Qué recursos necesitamos?,Contenido,lesson,text,"¿Qué recursos necesitamos?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/17_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Qué recursos necesitamos?,Actividades,lesson,exam,"Preparad dos tablas como la que aparece a continuación, una con los recursos materiales que necesitaréis y otra con los recursos humanos que van a participar en vuestro proyecto.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/17_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Qué recursos necesitamos?,Actividades,lesson,exam,"Realizad un diagrama temporal de desarrollo del proyecto donde intervengan personas/fases. Lo podéis hacer con un diagrama de Gantt, que os permitirá controlar los siguientes aspectos:
• Gestión de proyectos.
• Planificación de la hoja de ruta.
• Coordinación de equipo.
• Conciencia de la dependencia de tareas.
• Estructura del proceso.
• Programación de la línea de tiempo.
• Consecución de objetivos y cumplimiento de plazos.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/17_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Damos forma a nuestra idea?,Contenido,lesson,text,"¿Damos forma a nuestra idea?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/18_4.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Damos forma a nuestra idea?,Actividades,lesson,exam,"Lo primero de todo es realizar un boceto. Poned especial atención en el diseño, pues suele ser un factor determinante para los posibles clientes.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/18_5.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Damos forma a nuestra idea?,Actividades,lesson,exam,"A partir del boceto, realizad un diseño 3D. Con ayuda de alguna aplicación informática, como TinkerCAD, FreeCAD u openCAD, haced los planos o vistas en 2D de vuestro proyecto y elevadlos posteriormente a 3D.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/18_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Damos forma a nuestra idea?,Actividades,lesson,exam,"Por último, vamos a construir el prototipo. Para ello podéis usar:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/18_3.png
Ficha 12"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cómo presentamos nuestra idea?,Contenido,lesson,text,"¿Cómo presentamos nuestra idea?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/19_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Emprendimiento 360°,¿Cómo presentamos nuestra idea?,Actividades,lesson,exam,"Preparación de la exposición oral. Es tanto o más importante saber comunicar una idea que la propia idea en sí:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad2/img/19_2.png
a) Buscad información y vídeos de cómo comunicar en público.
b) Elaborad un par de listas con buenas y malas prácticas al hacer una exposición oral.
c) Preparad una presentación digital que dé soporte a vuestra exposición. Pegad a continuación la dirección para compartir la presentación digital que han elaborado.
d) Realizad el guion de vuestra presentación."
