stage,course,content,age,subject,unit_type,unit_title,card_title,block_title,card_type,block_type,text
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,La neumática en nuestro entorno,Inicio,lesson,text,"5 La neumática en nuestro entorno
https://plus.edebe.com/resources/video/vm_138373_tecno_4eso_s05_038.mp4
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/38_2.png
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/38_3.png
María es una chica muy curiosa y le encanta la tecnología. Siempre está desmontando los juguetes de su hermano pequeño para ver cómo funcionan y se cuestiona el porqué de las cosas.
Esta misma mañana, al dirigirse a su centro educativo en el autobús, se preguntaba cómo estaría hecho el sistema que hace inclinarse el autobús en las paradas de pasajeros para facilitar su subida y bajada.
- ¿Ayudas a María a descubrirlo?"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo crees que está hecho?,Contenido,lesson,text,"¿Cómo crees que está hecho?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/39_1.png
Ficha 39     Ficha 43"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo crees que está hecho?,Actividades,lesson,exam,"Prepara una infografía donde sintetices de forma visual los sistemas neumáticos empleados en un autocar o autobús:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/39_2.png
— Explica sus ventajas frente a otros sistemas mecánicos.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/39_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo crees que está hecho?,Actividades,lesson,exam,"Al estudiar los sistemas neumáticos usados en automoción, habrás visto que en algunos casos se utiliza la neumática y en otros la hidráulica.
— Elabora una tabla como la siguiente:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/39_4.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué sabes de la neumática?,Contenido,lesson,text,"¿Qué sabes de la neumática?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/40_1.png
Ficha 40     Ficha 41     Ficha 42     Ficha 44"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué sabes de la neumática?,Actividades,lesson,exam,"¿Sabías que la neumática se fundamenta en principios y leyes fundamentales de la física?
— Preparad por equipos un vídeo que explique cada uno de estos conceptos e incluya un experimento sencillo casero que demuestre las siguientes leyes:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/40_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué sabes de la neumática?,Actividades,lesson,exam,"Al igual que la electricidad o la electrónica, la neumática emplea símbolos y circuitos estandarizados para representar los montajes reales. ¿Conoces la simbología al respecto? Copia los siguientes símbolos y ponles el nombre.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/40_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué sabes de la neumática?,Actividades,lesson,exam,"¿Sabes cuáles son los elementos básicos para montar un circuito neumático? Elaborad un mapa conceptual donde aparezcan y se expliquen las partes fundamentales de todo circuito neumático.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/40_4.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué otras aplicaciones tiene?,Contenido,lesson,text,"¿Qué otras aplicaciones tiene?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/41_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué otras aplicaciones tiene?,Actividades,lesson,exam,"Realizad un Padlet o tablero colaborativo donde todos vayáis subiendo imágenes de las aplicaciones más habituales de la neumática o la hidráulica acompañadas de una breve descripción. Algunas imágenes pueden tratar sobre:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/41_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Qué otras aplicaciones tiene?,Actividades,lesson,exam,"Además de los más típicos y conocidos usos de esta tecnología, buscad en Internet otras aplicaciones más recientes o alternativas. Haced un post y publicadlo para compartirlo con vuestros compañeros y profesores. Podéis indagar sobre:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/41_3.png
Ficha 45"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo podrías aplicar la neumática?,Contenido,lesson,text,"¿Cómo podrías aplicar la neumática?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/42_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo podrías aplicar la neumática?,Actividades,lesson,exam,"El objetivo es diseñar un sistema neumático de apertura/cierre de una puerta de acceso a vuestro centro educativo para atender las siguientes necesidades:
— Mejorar el acondicionamiento térmico del recibidor (mucha gente se deja la puerta abierta y entra el frío o el calor).
— Adaptar el actuador o pulsador de apertura a las personas que acceden al centro en silla de ruedas.
— Poned en común el tipo de puerta más recomendable en este caso (abatible, corredera, etc.), la altura a la que deberá situarse el pulsador, el tiempo que ha de permanecer abierta, la colocación de sensores, etc.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/42_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo podrías aplicar la neumática?,Actividades,lesson,exam,"Haced un sencillo croquis donde se aprecie el diseño de vuestro proyecto. Elaborad un listado de los materiales necesarios, así como un presupuesto aproximado.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/42_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¿Cómo podrías aplicar la neumática?,Actividades,lesson,exam,"Vais a simular el circuito. Mediante Scratch podréis dibujar (o importar) los principales elementos que participan en los circuitos neumáticos: compresor, filtro regulador, válvulas, cilindros, etc. A continuación, simulad el movimiento y las distintas posiciones de vuestros elementos neumáticos. Incluso podéis recrear el paso del aire a través de vuestro circuito. ¡La imaginación al poder!"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¡Vais a construir un circuito neumático!,Contenido,lesson,text,"¡Vais a construir un circuito neumático!
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/43_1.png
Ficha 46"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,La neumática en nuestro entorno,¡Vais a construir un circuito neumático!,Actividades,lesson,exam,"Representad un primer circuito neumático básico donde intervengan únicamente los cilindros que accionan las hojas de la puerta y los dos pulsadores (el de dentro y el de fuera).
— En el caso de disponer en vuestra aula-taller de tecnología de los componentes neumáticos necesarios, haced un prototipo con la implementación o solución de apertura y cierre de la puerta.
— En caso contrario, utilizad un software de simulación (por ejemplo, FluidSIM) para verificar el funcionamiento deseado.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad5/img/43_2.png"
